Input name	RefMet name	Formula	Mass	REGNO
Factors				
CL 70:1	CL(70:1)	C79H152O17P2	1435.0505	
CL 70:5	CL(70:5)	C79H144O17P2	1426.9879	
CL 74:1	CL(74:1)	C83H160O17P2	1491.1131	
CL 74:7	CL(74:7)	C83H148O17P2	1479.0192	
CL 82:13				
FFA(20:0)	Arachidic acid	C20H40O2	312.3028	41
FFA(20:1)	Heneicosenoic acid	C21H40O2	324.3028	
FFA(20:2)	Eicosadienoic acid	C20H36O2	308.2715	
FFA(22:0)	Behenic acid	C22H44O2	340.3341	43
FFA(22:1)	Docosenoic acid	C22H42O2	338.3185	
FFA(22:2)	Docosadienoic acid	C23H42O2	350.3185	
FFA(22:3)	Docosatrienoic acid	C22H38O2	334.2872	
FFA(24:0)	Lignoceric acid	C24H48O2	368.3654	45
FFA(24:1)	Tetracosenoic acid	C24H46O2	366.3498	
FFA(24:2)	Tetracosadienoic acid	C24H44O2	364.3341	
FFA(24:3)	Tetracosatrienoic acid	C24H42O2	362.3185	
FFA(Arachidonic acid)	Arachidonic acid	C20H32O2	304.2402	436
PC 28:0	PC(28:0)	C36H72NO8P	677.4996	
PC 30:0	PC(30:0)	C38H76NO8P	705.5309	
PC 30:1	PC(30:1)	C38H74NO8P	703.5152	
PC 32:0	PC(32:0)	C40H80NO8P	733.5622	
PC 32:1	PC(32:1)	C40H78NO8P	731.5465	
PC 32:2	PC(32:2)	C40H76NO8P	729.5309	
PC 33:0	PC(33:0)	C41H82NO8P	747.5778	
PC 33:1	PC(33:1)	C41H80NO8P	745.5622	
PC 34:0	PC(34:0)	C42H84NO8P	761.5935	
PC 34:1	PC(34:1)	C42H82NO8P	759.5778	
PC 34:2	PC(34:2)	C42H80NO8P	757.5622	
PC 34:3	PC(34:3)	C42H78NO8P	755.5465	
PC 34:4	PC(34:4)	C42H76NO8P	753.5309	
PC 35:1	PC(35:1)	C43H84NO8P	773.5935	
PC 35:2	PC(35:2)	C43H82NO8P	771.5778	
PC 35:4	PC(35:4)	C43H78NO8P	767.5465	
PC 36:1	PC(36:1)	C44H86NO8P	787.6091	
PC 36:2	PC(36:2)	C44H84NO8P	785.5935	
PC 36:3	PC(36:3)	C44H82NO8P	783.5778	
PC 36:4	PC(36:4)	C44H80NO8P	781.5622	
PC 36:5	PC(36:5)	C44H78NO8P	779.5465	
PC 36:6	PC(36:6)	C44H76NO8P	777.5309	
PC 37:2	PC(37:2)	C45H86NO8P	799.6091	
PC 37:3	PC(37:3)	C45H84NO8P	797.5935	
PC 37:4	PC(37:4)	C45H82NO8P	795.5778	
PC 37:5	PC(37:5)	C45H80NO8P	793.5622	
PC 38:2	PC(38:2)	C46H88NO8P	813.6248	
PC 38:3	PC(38:3)	C46H86NO8P	811.6091	
PC 38:4	PC(38:4)	C46H84NO8P	809.5935	
PC 38:4	PC(38:4)	C46H84NO8P	809.5935	
PC 38:5	PC(38:5)	C46H82NO8P	807.5778	
PC 38:6	PC(38:6)	C46H80NO8P	805.5622	
PC 38:6	PC(38:6)	C46H80NO8P	805.5622	
PC 38:7	PC(38:7)	C46H78NO8P	803.5465	
PC 39:4	PC(39:4)	C47H86NO8P	823.6091	
PC 39:6	PC(39:6)	C47H82NO8P	819.5778	
PC 40:4	PC(40:4)	C48H88NO8P	837.6248	
PC 40:6	PC(40:6)	C48H84NO8P	833.5935	
